model,accuracy,precision,recall,f1,roc_auc
ExtraTrees,0.8552631578947368,0.9090909090909091,0.7894736842105263,0.8450704225352113,0.9445983379501386
RandomForest,0.8552631578947368,0.8857142857142857,0.8157894736842105,0.8493150684931506,0.9078947368421052
GradientBoosting,0.8289473684210527,0.8571428571428571,0.7894736842105263,0.821917808219178,0.8559556786703602
LogisticRegression,0.8157894736842105,0.8529411764705882,0.7631578947368421,0.8055555555555556,0.8801939058171745
AdaBoost,0.8157894736842105,0.8333333333333334,0.7894736842105263,0.8108108108108109,0.8698060941828255
