model,accuracy,precision,recall,f1,roc_auc
ExtraTrees,0.8552631578947368,0.8857142857142857,0.8157894736842105,0.8493150684931506,0.9504847645429363
RandomForest,0.8421052631578947,0.8823529411764706,0.7894736842105263,0.8333333333333334,0.9162049861495846
LogisticRegression,0.8157894736842105,0.8529411764705882,0.7631578947368421,0.8055555555555556,0.8774238227146814
GradientBoosting,0.8157894736842105,0.8529411764705882,0.7631578947368421,0.8055555555555556,0.8919667590027701
AdaBoost,0.8157894736842105,0.8333333333333334,0.7894736842105263,0.8108108108108109,0.8808864265927978
